,production_companies,release_year,revenue
403,Universal Pictures,2008,160388063
404,Paramount Pictures,2007,84785914
405,Phoenix Pictures,2000,96085477
406,Universal Pictures,2003,484572835
407,Millennium Films,2010,274470394
408,Paramount Pictures,1996,457696359
409,Lionsgate,2012,691210692
410,Legendary Pictures,2011,254455986
411,PolyGram Filmed Entertainment,1992,280000000
412,Pacific Data Images (PDI),2006,343397247
413,Walt Disney Pictures,2002,145771527
414,Paramount Pictures,2006,144000000
415,Paramount Pictures,1998,140464664
416,Paramount Pictures,2005,190320568
417,Fox 2000 Pictures,2011,342695435
418,Columbia Pictures,2013,246984278
419,Village Roadshow Pictures,2008,230685453
420,Columbia Pictures Corporation,2003,266728738
421,Paramount Pictures,2010,294804195
422,New Line Cinema,2008,163733697
423,Blue Sky Studios,2005,260696994
424,Paramount Pictures,1997,245676146
425,Walt Disney Pictures,2008,212874442
426,DreamWorks SKG,2002,181001478
427,Columbia Pictures,2011,214918407
428,Jerry Bruckheimer Films,1997,224012234
429,DreamWorks SKG,2008,178066569
430,Miramax Films,2003,173013509
431,Alcon Entertainment,2010,157107755
432,Walt Disney Pictures,1997,177977226
433,DreamWorks,1999,91188905
434,Warner Bros. Family Entertainment,1996,250200000
435,Twentieth Century Fox Film Corporation,2008,233093859
436,Silver Pictures,1997,136982834
437,Columbia Pictures,2014,211817906
438,Caravan Pictures,1998,164000000
439,De Line Pictures,2010,201584141
440,DreamWorks SKG,2002,122563539
441,Columbia Pictures,2011,169852759
442,New Line Cinema,1998,136159423
443,Paramount Pictures,2004,96105964
444,Columbia Pictures,2015,473226958
445,Walt Disney Pictures,1999,90874570
446,DreamWorks SKG,2002,123729176
447,Village Roadshow Pictures,2001,147080413
448,Amblin Entertainment,2005,142400065
449,PolyGram Filmed Entertainment,1998,71485043
450,The Weinstein Company,2005,105316267
451,Tim Burton Productions,1996,101371017
452,Touchstone Pictures,2009,122444772
453,New Line Cinema,2000,34566746
454,Universal Pictures,1996,159212469
455,BBC Worldwide,2013,126546518
456,Franchise Pictures,2000,21400000
457,Lonely Film Productions GmbH & Co. KG.,2003,68514844
458,The Weinstein Company,2009,53825515
459,Paramount Pictures,2003,19480739
460,Tig Productions,1997,17626234
461,Kennedy Miller Productions,1998,69131860
462,Summit Entertainment,2015,146936910
463,Village Roadshow Pictures,2000,33463969
464,Canal Plus,2006,107944236
465,Epsilon Motion Pictures,2005,5989640
466,Impact Pictures,2014,117831631
467,Imagine Entertainment,2001,313542341
468,Walt Disney Pictures,1994,788241776
469,New Line Cinema,2012,355692760
470,Columbia Pictures,2013,248384621
471,Universal Pictures,2002,209196298
472,Casey Silver Productions,2004,108103450
473,Columbia Pictures,2011,149673788
474,Mikona Productions GmbH & Co. KG,2003,236350661
475,Onyx Films,2015,97571250
476,Village Roadshow Pictures,2007,15071514
477,Universal Pictures,2000,35134820
478,Universal Pictures,2016,875958308
479,Twentieth Century Fox Film Corporation,2003,179265204
480,Universal Pictures,2013,970761885
481,Twentieth Century Fox Film Corporation,1996,816969268
482,Universal Pictures,1997,229074524
483,DreamWorks SKG,2005,532680671
484,Universal Pictures,2006,69959751
485,Twentieth Century Fox Film Corporation,2000,296339527
486,Universal Pictures,2008,258270008
487,Hollywood Pictures,1996,335062621
488,Blue Sky Studios,2006,660940780
489,Columbia Pictures Corporation,2004,196482882
490,New Line Cinema,2007,90450008
